Indicator:,Male healthy life expectancy,(Back to data dictionary),,,,
Date: ,2017-2019,,,,,
Coverage:,UK,,,,,
Geography:,"Counties and Unitary Authorities, 2020",,,,,
,,,,,,
Area Code,Area,Male healthy life expectancy,HLE Lower CI,HLE Upper CI,Notes,
E09000027,Richmond upon Thames,71.4,68.9,74.0,,
E09000028,Southwark,64.0,61.2,66.7,,
E09000029,Sutton,67.3,64.9,69.7,,
E09000030,Tower Hamlets,62.6,58.9,66.4,,
E09000031,Waltham Forest,64.0,60.3,67.7,,
E09000032,Wandsworth,62.7,59.5,65.9,,
E09000033,Westminster,65.7,62.2,69.2,,
E10000003,lacu:Cambridgeshire,64.3,62.5,66.1,,
E10000006,lacu:Cumbria,62.9,61.5,64.4,,
E10000007,lacu:Derbyshire,61.1,59.4,62.7,,
E10000008,lacu:Devon,67.8,66.4,69.2,,
E10000011,lacu:East Sussex,64.0,62.2,65.9,,
E10000012,lacu:Essex,64.2,63.0,65.4,,
E10000013,lacu:Gloucestershire,68.2,66.9,69.6,,
E10000014,lacu:Hampshire,65.7,64.5,66.9,,
E10000015,lacu:Hertfordshire,67.0,65.8,68.3,,
E10000016,lacu:Kent,63.8,62.5,65.0,,
E10000017,lacu:Lancashire,60.6,59.3,61.9,,
E10000018,lacu:Leicestershire,63.5,61.8,65.2,,
E10000019,lacu:Lincolnshire,61.8,60.2,63.4,,
E10000020,lacu:Norfolk,62.7,61.2,64.3,,
E10000021,lacu:Northamptonshire,63.4,61.7,65.1,Obsolete code since 2021,
E10000023,lacu:North Yorkshire,65.7,64.1,67.4,,
E10000024,lacu:Nottinghamshire,63.4,61.9,64.9,,
E10000025,lacu:Oxfordshire,67.5,65.8,69.2,,
E10000027,lacu:Somerset,62.8,60.9,64.7,,
E10000028,lacu:Staffordshire,61.5,59.7,63.2,,
E10000029,lacu:Suffolk,65.1,63.6,66.5,,
E10000030,lacu:Surrey,67.2,65.8,68.6,,
E10000031,lacu:Warwickshire,64.6,62.8,66.3,,
E10000032,lacu:West Sussex,66.0,64.5,67.5,,
E10000034,lacu:Worcestershire,65.1,63.5,66.7,,
N09000001,Antrim and Newtownabbey,64.4,61.2,67.6,,
N09000002,"Armagh City, Banbridge and Craigavon",61.1,59.1,63.2,,
N09000003,Belfast,54.4,52.4,56.4,,
N09000004,Causeway Coast and Glens,62.6,59.7,65.4,,
N09000005,Derry City and Strabane,58.6,56.2,61.1,,
N09000006,Fermanagh and Omagh,61.4,58.8,64.0,,
N09000007,Lisburn and Castlereagh,64.6,62.1,67.1,,
N09000008,Mid and East Antrim,62.2,59.5,64.9,,
N09000009,Mid Ulster,61.7,59.1,64.2,,
N09000010,"Newry, Mourne and Down",63.3,60.8,65.8,,
N09000011,Ards and North Down,64.7,62.5,66.9,,
S12000005,Clackmannanshire,62.8,60.4,65.2,,
S12000006,Dumfries and Galloway,62.4,60.6,64.2,,
S12000008,East Ayrshire,59.3,57.5,61.2,,
S12000010,East Lothian,65.2,63.3,67.2,,
S12000011,East Renfrewshire,68.3,66.4,70.1,,
S12000013,Na h-Eileanan Siar,67.0,64.1,69.9,,
S12000014,Falkirk,62.4,60.7,64.1,,
S12000017,Highland,64.0,62.0,65.9,,
S12000018,Inverclyde,58.4,56.4,60.3,,
S12000019,Midlothian,63.4,61.1,65.6,,
S12000020,Moray,61.5,59.5,63.4,,
S12000021,North Ayrshire,58.5,56.6,60.5,,
S12000023,Orkney Islands,69.3,65.6,73.1,,
S12000026,Scottish Borders,63.3,61.4,65.2,,
S12000027,Shetland Islands,69.0,62.7,75.2,,
S12000028,South Ayrshire,60.0,58.0,61.9,,
S12000029,South Lanarkshire,57.9,56.0,59.9,,
S12000030,Stirling,61.8,59.6,63.9,,
S12000033,Aberdeen City,60.6,58.5,62.7,,
S12000034,Aberdeenshire,67.9,66.2,69.6,,
S12000035,Argyll and Bute,64.7,63.0,66.4,,
S12000036,City of Edinburgh,66.3,64.4,68.2,,
S12000038,Renfrewshire,60.7,58.8,62.7,,
S12000039,West Dunbartonshire,59.1,57.5,60.8,,
S12000040,West Lothian,61.3,59.3,63.4,,
S12000041,Angus,61.0,58.9,63.1,,
S12000042,Dundee City,56.8,55.0,58.7,,
S12000045,East Dunbartonshire,69.8,68.4,71.3,,
S12000047,Fife,61.6,59.8,63.3,,
S12000048,Perth and Kinross,66.3,64.5,68.1,,
S12000049,Glasgow City,54.6,52.7,56.5,,
S12000050,North Lanarkshire,58.7,56.9,60.5,,
W06000001,Isle of Anglesey,63.7,61.9,65.5,,
W06000002,Gwynedd,64.8,63.0,66.6,,
W06000003,Conwy,63.2,61.5,65.0,,
W06000004,Denbighshire,64.4,62.7,66.2,,
W06000005,Flintshire,62.6,60.8,64.5,,
W06000006,Wrexham,63.1,61.2,64.9,,
W06000008,Ceredigion,63.2,61.4,65.0,,
W06000009,Pembrokeshire,61.9,60.2,63.6,,
W06000010,Carmarthenshire,60.4,58.7,62.1,,
W06000011,Swansea,62.5,61.0,64.0,,
W06000012,Neath Port Talbot,58.5,56.7,60.4,,
W06000013,Bridgend,59.1,57.2,61.0,,
W06000014,Vale of Glamorgan,61.0,58.7,63.2,,
W06000015,Cardiff,61.9,59.9,63.9,,
W06000016,Rhondda Cynon Taf,56.4,54.6,58.3,,
W06000018,Caerphilly,57.7,56.0,59.4,,
W06000019,Blaenau Gwent,55.9,53.8,58.0,,
W06000020,Torfaen,59.7,57.7,61.6,,
W06000021,Monmouthshire,66.4,64.6,68.2,,
W06000022,Newport,58.0,56.0,60.0,,
W06000023,Powys,63.3,61.2,65.4,,
W06000024,Merthyr Tydfil,58.9,56.9,61.0,,
